
Valores Confirmados

Fecha;CAPITAL;;CUPRUM;;HABITAT;;MODELO;;PLANVITAL;;PROVIDA
;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio;Valor Cuota;Valor Patrimonio
2015-01-01;26.320,14;3520961377565;27.749,61;2642365136440;27.770,27;3758885617637;26.429,47;134083952540;25.890,76;597908068747;26.238,97;5207670212277
2015-01-02;26.305,26;3518713220578;27.735,63;2641040464574;27.752,18;3756704607480;26.419,07;134111556538;25.878,18;598048907695;26.230,37;5203084337481
2015-01-03;26.305,26;3518713220578;27.735,63;2641040464574;27.752,18;3756704607480;26.419,07;134111556538;25.878,18;598048907695;26.230,37;5203084337481
2015-01-04;26.305,26;3518713220578;27.735,63;2641040464574;27.752,18;3756704607480;26.419,07;134111556538;25.878,18;598048907695;26.230,37;5203084337481
2015-01-05;26.343,10;3522906570604;27.792,44;2645504985501;27.798,10;3760425430694;26.464,38;134474056113;25.920,34;599135629543;26.238,97;5203403815379
2015-01-06;26.321,03;3515550668622;27.759,43;2643116415337;27.773,85;3757121939495;26.441,47;134292586752;25.892,90;597799479250;26.212,28;5194672963324
2015-01-07;26.256,86;3505729007543;27.689,14;2637299826042;27.711,70;3748593516200;26.366,75;133853636443;25.827,10;596312103427;26.147,19;5181866735129
2015-01-08;26.261,18;3506594357741;27.702,35;2638871831847;27.724,92;3738319762701;26.357,31;133855982023;25.830,43;596400546872;26.163,00;5183276524431
2015-01-09;26.327,56;3512816325603;27.775,82;2643405686301;27.804,37;3748462029799;26.419,15;134237819032;25.896,14;598482422604;26.230,99;5191688420519
2015-01-10;26.327,56;3512816325603;27.775,82;2643405686301;27.804,37;3748462029799;26.419,15;134237819032;25.896,14;598482422604;26.230,99;5191688420519
2015-01-11;26.327,56;3512816325603;27.775,82;2643405686301;27.804,37;3748462029799;26.419,15;134237819032;25.896,14;598482422604;26.230,99;5191688420519
2015-01-12;26.339,54;3516233430950;27.787,55;2641108586686;27.825,53;3752215783890;26.434,55;134323777882;25.912,78;598927713858;26.243,82;5193600054325
2015-01-13;26.340,59;3508767454046;27.791,74;2641975846930;27.834,92;3752426874824;26.437,30;134407525240;25.920,75;599235508491;26.246,43;5193753617296
2015-01-14;26.369,55;3515450773349;27.817,12;2646807154526;27.866,34;3758720561692;26.456,65;134965076517;25.947,85;598136554030;26.268,19;5197847541949
2015-01-15;26.438,58;3525704581672;27.890,85;2655285347948;27.938,28;3771208735264;26.529,48;136134454550;26.008,35;599220747553;26.342,10;5213437365972
2015-01-16;26.428,03;3524775958201;27.883,65;2653632946209;27.933,39;3770207440549;26.526,37;135634789505;25.998,58;599002903946;26.334,08;5205284992524
2015-01-17;26.428,03;3524775958201;27.883,65;2653632946209;27.933,39;3770207440549;26.526,37;135634789505;25.998,58;599002903946;26.334,08;5205284992524
2015-01-18;26.428,03;3524775958201;27.883,65;2653632946209;27.933,39;3770207440549;26.526,37;135634789505;25.998,58;599002903946;26.334,08;5205284992524
2015-01-19;26.487,00;3533098737009;27.953,27;2660073985252;27.994,47;3777571843061;26.567,93;135886740210;26.057,14;600257341066;26.394,16;5217484950186
2015-01-20;26.512,85;3536829020038;27.976,13;2661681477879;28.023,75;3782045085644;26.594,85;136119762275;26.084,57;601562105763;26.425,29;5223345584150
2015-01-21;26.525,40;3538003861667;27.993,77;2663474690108;28.045,16;3785625274711;26.614,63;136242028140;26.099,28;601938013697;26.447,08;5228733499331
2015-01-22;26.575,41;3545242179355;28.047,83;2668062109871;28.089,44;3791268897198;26.644,73;136453928921;26.144,21;602915100559;26.491,45;5236658638616
2015-01-23;26.627,56;3550572928735;28.107,43;2674448234041;28.158,27;3802330734062;26.704,35;136792739891;26.197,64;604477424897;26.563,98;5250958663248
2015-01-24;26.627,56;3550572928735;28.107,43;2674448234041;28.158,27;3802330734062;26.704,35;136792739891;26.197,64;604477424897;26.563,98;5250958663248
2015-01-25;26.627,56;3550572928735;28.107,43;2674448234041;28.158,27;3802330734062;26.704,35;136792739891;26.197,64;604477424897;26.563,98;5250958663248
2015-01-26;26.670,88;3557190986757;28.153,30;2678729232100;28.201,76;3808056835865;26.751,56;137161793846;26.237,15;604857125344;26.609,00;5261190440496
2015-01-27;26.680,13;3557631551036;28.159,41;2677854328705;28.205,33;3808849534350;26.743,39;137011000144;26.239,10;604955607307;26.607,88;5260598442866
2015-01-28;26.659,79;3554244616106;28.146,23;2676628634781;28.197,61;3809237458306;26.737,59;136909772218;26.225,20;605258866664;26.597,72;5258579305140
2015-01-29;26.640,35;3550758055751;28.122,67;2673334661259;28.164,69;3803541691283;26.726,10;136878438227;26.212,52;605010286184;26.576,22;5257244854684
2015-01-30;26.715,62;3586806102427;28.204,05;2693668996940;28.253,94;3843999516760;26.778,53;137349522406;26.273,57;610737893746;26.646,90;5316691774721
2015-01-31;26.715,62;3586806102427;28.204,05;2693668996940;28.253,94;3843999516760;26.778,53;137349522406;26.273,57;610737893746;26.646,90;5316691774721
2015-02-01;26.715,62;3586806102427;28.204,05;2693668996940;28.253,94;3843999516760;26.778,53;137349522406;26.273,57;610737893746;26.646,90;5316691774721
2015-02-02;26.727,54;3590489691018;28.211,36;2692999565565;28.253,72;3843992727373;26.791,63;137894649418;26.278,50;610295435482;26.645,51;5309015889968
2015-02-03;26.780,65;3597557705524;28.258,24;2697019599851;28.310,36;3851617047205;26.844,13;138334398171;26.328,15;611447584099;26.705,90;5319522483084
2015-02-04;26.788,18;3597550855964;28.273,92;2698045786772;28.332,52;3854210060433;26.861,05;138423838148;26.343,41;611450293332;26.722,83;5321832115387
2015-02-05;26.802,08;3599114007437;28.297,20;2699597638219;28.341,50;3853573034009;26.880,42;138532541918;26.355,48;612314528862;26.731,10;5324624794295
2015-02-06;26.824,07;3602544293943;28.312,40;2700787592600;28.360,75;3856430501398;26.907,05;138652095624;26.375,40;612580161919;26.744,64;5326294358830
2015-02-07;26.824,07;3602544293943;28.312,40;2700787592600;28.360,75;3856430501398;26.907,05;138652095624;26.375,40;612580161919;26.744,64;5326294358830
